NEW_BUS_ID,RECONCILIATION_NUM,Percentage,Accum_Percentage,Client_Num
34807,2778,0.049,0.049,1
35574,2601,0.046,0.095,2
35140,2336,0.041,0.136,3
1914,1863,0.033,0.169,4
29710,1376,0.024,0.193,5
32890,1308,0.023,0.216,6
35383,1174,0.021,0.237,7
11838,659,0.012,0.248,8
35821,615,0.011,0.259,9
33554,612,0.011,0.27,10
33617,603,0.011,0.281,11
15804,592,0.01,0.291,12
35340,554,0.01,0.301,13
36973,544,0.01,0.311,14
35562,521,0.009,0.32,15
35698,435,0.008,0.327,16
11876,429,0.008,0.335,17
16715,405,0.007,0.342,18
35183,373,0.007,0.349,19
14748,325,0.006,0.354,20
37961,307,0.005,0.36,21
27010,301,0.005,0.365,22
31311,295,0.005,0.37,23
11975,295,0.005,0.376,24
34727,283,0.005,0.38,25
34313,279,0.005,0.385,26
15780,272,0.005,0.39,27
36255,262,0.005,0.395,28
16356,253,0.004,0.399,29
35797,251,0.004,0.404,30
30771,251,0.004,0.408,31
37018,236,0.004,0.412,32
28010,233,0.004,0.416,33
36944,227,0.004,0.42,34
11843,219,0.004,0.424,35
29711,215,0.004,0.428,36
35809,215,0.004,0.432,37
33709,212,0.004,0.436,38
2064,206,0.004,0.439,39
35827,197,0.003,0.443,40
27492,194,0.003,0.446,41
35279,191,0.003,0.449,42
29712,191,0.003,0.453,43
35711,180,0.003,0.456,44
35871,177,0.003,0.459,45
35483,176,0.003,0.462,46
24585,176,0.003,0.465,47
22437,166,0.003,0.468,48
37639,165,0.003,0.471,49
19897,165,0.003,0.474,50
35814,161,0.003,0.477,51
13795,160,0.003,0.48,52
34522,158,0.003,0.483,53
27070,156,0.003,0.485,54
35664,155,0.003,0.488,55
35655,153,0.003,0.491,56
35398,149,0.003,0.493,57
16718,146,0.003,0.496,58
34042,143,0.003,0.498,59
35326,142,0.003,0.501,60
12035,140,0.002,0.503,61
35603,140,0.002,0.506,62
16936,139,0.002,0.508,63
34323,134,0.002,0.511,64
37702,133,0.002,0.513,65
34298,132,0.002,0.515,66
15812,132,0.002,0.518,67
33570,131,0.002,0.52,68
9714,124,0.002,0.522,69
33825,121,0.002,0.524,70
15748,121,0.002,0.526,71
21516,118,0.002,0.529,72
35786,117,0.002,0.531,73
1313,116,0.002,0.533,74
21695,113,0.002,0.535,75
36057,111,0.002,0.537,76
35672,111,0.002,0.539,77
16415,111,0.002,0.54,78
37033,111,0.002,0.542,79
33901,108,0.002,0.544,80
19680,105,0.002,0.546,81
20172,105,0.002,0.548,82
18495,105,0.002,0.55,83
25225,104,0.002,0.552,84
14534,103,0.002,0.554,85
35842,98,0.002,0.555,86
9293,97,0.002,0.557,87
7893,97,0.002,0.559,88
20002,96,0.002,0.56,89
17335,96,0.002,0.562,90
20190,96,0.002,0.564,91
33849,95,0.002,0.565,92
20527,95,0.002,0.567,93
36301,93,0.002,0.569,94
30010,93,0.002,0.57,95
35366,93,0.002,0.572,96
35369,92,0.002,0.574,97
36016,92,0.002,0.575,98
8253,90,0.002,0.577,99
32280,89,0.002,0.578,100
34562,89,0.002,0.58,101
33843,88,0.002,0.582,102
32305,88,0.002,0.583,103
38642,88,0.002,0.585,104
37435,87,0.002,0.586,105
35168,87,0.002,0.588,106
37873,87,0.002,0.589,107
35689,84,0.001,0.591,108
35676,84,0.001,0.592,109
28750,84,0.001,0.594,110
34680,82,0.001,0.595,111
34041,82,0.001,0.597,112
15768,82,0.001,0.598,113
33925,80,0.001,0.599,114
19989,80,0.001,0.601,115
36633,80,0.001,0.602,116
13935,79,0.001,0.604,117
7653,78,0.001,0.605,118
34847,77,0.001,0.606,119
35893,77,0.001,0.608,120
12056,77,0.001,0.609,121
15690,76,0.001,0.61,122
31470,75,0.001,0.612,123
22967,75,0.001,0.613,124
33050,74,0.001,0.614,125
27091,72,0.001,0.616,126
22842,71,0.001,0.617,127
36687,71,0.001,0.618,128
35680,71,0.001,0.619,129
35663,70,0.001,0.621,130
37377,70,0.001,0.622,131
37329,69,0.001,0.623,132
24986,68,0.001,0.624,133
35063,68,0.001,0.626,134
25768,68,0.001,0.627,135
37325,68,0.001,0.628,136
18020,66,0.001,0.629,137
33839,65,0.001,0.63,138
27210,65,0.001,0.631,139
35377,64,0.001,0.632,140
32991,64,0.001,0.634,141
7173,64,0.001,0.635,142
21942,64,0.001,0.636,143
